Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
46,Terrence Ross\rosste01,SG,28,ORL,69,1889,14.0,.548,.596,.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,,1.1,2.0,3.0,.077,,-0.1,-0.3,-0.4,0.8
47,Grant Williams\willigr01,PF,21,BOS,69,1043,7.9,.505,.455,.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,,0.1,1.4,1.6,.071,,-4.1,1.4,-2.7,-0.2
48,Kent Bazemore\bazemke01,SF,30,TOT,68,1688,9.3,.499,.457,.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,,-0.9,1.5,0.6,.017,,-3.4,0.3,-3.1,-0.5
49,DeMar DeRozan\derozde01,SF,30,SAS,68,2316,21.6,.603,.033,.430,2.0,15.4,8.7,26.1,1.4,0.8,11.6,26.3,,5.9,1.3,7.3,.151,,2.3,-0.4,1.9,2.3
50,Rudy Gobert\goberru01,C,27,UTA,68,2333,21.7,.699,.000,.724,11.2,31.3,21.6,6.5,1.1,4.8,15.0,16.2,,6.5,4.2,10.7,.221,,1.7,1.9,3.6,3.3
51,Danny Green\greenda02,SG,32,LAL,68,1687,10.8,.552,.690,.101,3.3,11.2,7.3,7.1,2.4,1.7,11.3,13.9,,0.8,2.5,3.4,.096,,-1.1,1.5,0.5,1.1
52,James Harden\hardeja01,SG,30,HOU,68,2483,29.1,.626,.557,.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,,9.9,3.2,13.1,.254,,8.1,1.6,9.6,7.3
53,Brook Lopez\lopezbr01,C,31,MIL,68,1817,15.0,.551,.484,.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,,1.4,4.1,5.5,.145,,-0.4,2.5,2.0,1.9
54,JaVale McGee\mcgeeja01,C,32,LAL,68,1130,19.4,.652,.020,.268,12.2,25.4,18.9,4.6,1.5,7.5,13.9,14.8,,2.2,2.4,4.7,.198,,-0.6,2.1,1.5,1.0
55,Austin Rivers\riverau01,SG,27,HOU,68,1594,10.4,.542,.539,.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,,1.2,1.2,2.4,.072,,-2.1,-0.4,-2.5,-0.2
56,Mike Scott\scottmi01,PF,31,PHI,68,1207,11.2,.557,.620,.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,,1.4,1.1,2.5,.100,,-0.7,-1.1,-1.8,0.1
57,Ish Smith\smithis01,PG,31,WAS,68,1787,13.9,.509,.245,.125,1.8,12.0,6.7,27.1,1.5,1.5,11.6,19.1,,1.3,0.6,1.9,.051,,-0.3,-1.0,-1.3,0.3
58,Derrick White\whitede01,SG,25,SAS,68,1677,16.4,.593,.391,.382,2.3,12.1,7.2,20.0,1.3,3.1,12.1,18.9,,3.1,1.1,4.2,.119,,1.2,0.1,1.3,1.4
